用例编号,a,b,c,期望值
105,2,0,91,barrel的取值不在有效范围1~90内
106,2,1,0,12美元
107,2,1,1,14.5美元
108,2,1,2,17美元
109,2,1,45,109美元
110,2,1,89,329美元
111,2,1,90,334美元
112,2,1,91,barrel的取值不在有效范围1~90内
113,2,2,0,15美元
114,2,2,1,17.5美元
115,2,2,2,20美元
116,2,2,45,115美元
117,2,2,89,335美元
118,2,2,90,340美元
119,2,2,91,barrel的取值不在有效范围1~90内
120,2,40,0,118美元
121,2,40,1,123美元
122,2,40,2,128美元
123,2,40,45,343美元
124,2,40,89,563美元
125,2,40,90,568美元
126,2,40,91,barrel的取值不在有效范围1~90内
127,2,79,0,352美元
128,2,79,1,357美元
129,2,79,2,362美元
130,2,79,45,577美元
131,2,79,89,797美元
132,2,79,90,802美元
133,2,79,91,barrel的取值不在有效范围1~90内
134,2,80,0,358美元
135,2,80,1,363美元
136,2,80,2,368美元
137,2,80,45,583美元
138,2,80,89,803美元
139,2,80,90,808美元
140,2,80,91,barrel的取值不在有效范围1~90内
141,2,81,0,stock的取值不在有效范围1~80内
142,2,81,1,stock的取值不在有效范围1~80内
143,2,81,2,stock的取值不在有效范围1~80内
144,2,81,45,stock的取值不在有效范围1~80内
145,2,81,89,stock的取值不在有效范围1~80内
146,2,81,90,stock的取值不在有效范围1~80内
147,2,81,91,stock的取值不在有效范围1~80内
148,35,0,0,175美元
149,35,0,1,180美元
150,35,0,2,185美元
151,35,0,45,400美元
152,35,0,89,620美元
153,35,0,90,625美元
154,35,0,91,barrel的取值不在有效范围1~90内
155,35,1,0,181美元
156,35,1,1,186美元
157,35,1,2,191美元
158,35,1,45,406美元
159,35,1,89,626美元
160,35,1,90,631美元
161,35,1,91,barrel的取值不在有效范围1~90内
162,35,2,0,187美元
163,35,2,1,192美元
164,35,2,2,197美元
165,35,2,45,412美元
166,35,2,89,632美元
167,35,2,90,637美元
168,35,2,91,barrel的取值不在有效范围1~90内
169,35,40,0,415美元
170,35,40,1,420美元
171,35,40,2,425美元
172,35,40,45,640美元
173,35,40,89,860美元
174,35,40,90,865美元
175,35,40,91,barrel的取值不在有效范围1~90内
176,35,79,0,649美元
177,35,79,1,654美元
178,35,79,2,659美元
179,35,79,45,874美元
180,35,79,89,1094美元
181,35,79,90,1099美元
182,35,79,91,barrel的取值不在有效范围1~90内
183,35,80,0,655美元
184,35,80,1,660美元
185,35,80,2,665美元
186,35,80,45,880美元
187,35,80,89,1100美元
188,35,80,90,1105美元
189,35,80,91,barrel的取值不在有效范围1~90内
190,35,81,0,stock的取值不在有效范围1~80内
191,35,81,1,stock的取值不在有效范围1~80内
192,35,81,2,stock的取值不在有效范围1~80内
193,35,81,45,stock的取值不在有效范围1~80内
194,35,81,89,stock的取值不在有效范围1~80内
195,35,81,90,stock的取值不在有效范围1~80内
196,35,81,91,stock的取值不在有效范围1~80内
197,69,0,0,481美元
198,69,0,1,486美元
199,69,0,2,491美元
200,69,0,45,706美元
201,69,0,89,926美元
202,69,0,90,931美元
203,69,0,91,barrel的取值不在有效范围1~90内
204,69,1,0,487美元
205,69,1,1,492美元
206,69,1,2,497美元
207,69,1,45,712美元
208,69,1,89,932美元
209,69,1,90,937美元
210,69,1,91,barrel的取值不在有效范围1~90内
211,69,2,0,493美元
212,69,2,1,498美元
213,69,2,2,503美元
214,69,2,45,718美元
215,69,2,89,938美元
216,69,2,90,943美元
217,69,2,91,barrel的取值不在有效范围1~90内
218,69,40,0,721美元
219,69,40,1,726美元
220,69,40,2,731美元
221,69,40,45,946美元
222,69,40,89,1166美元
223,69,40,90,1171美元
224,69,40,91,barrel的取值不在有效范围1~90内
225,69,79,0,955美元
226,69,79,1,960美元
227,69,79,2,965美元
228,69,79,45,1180美元
229,69,79,89,1400美元
230,69,79,90,1405美元
231,69,79,91,barrel的取值不在有效范围1~90内
232,69,80,0,961美元
233,69,80,1,966美元
234,69,80,2,971美元
235,69,80,45,1186美元
236,69,80,89,1406美元
237,69,80,90,1411美元
238,69,80,91,barrel的取值不在有效范围1~90内
239,69,81,0,stock的取值不在有效范围1~80内
240,69,81,1,stock的取值不在有效范围1~80内
241,69,81,2,stock的取值不在有效范围1~80内
242,69,81,45,stock的取值不在有效范围1~80内
243,69,81,89,stock的取值不在有效范围1~80内
244,69,81,90,stock的取值不在有效范围1~80内
245,69,81,91,stock的取值不在有效范围1~80内
246,70,0,0,490美元
247,70,0,1,495美元
248,70,0,2,500美元
249,70,0,45,715美元
250,70,0,89,935美元
251,70,0,90,940美元
252,70,0,91,barrel的取值不在有效范围1~90内
253,70,1,0,496美元
254,70,1,1,501美元
255,70,1,2,506美元
256,70,1,45,721美元
257,70,1,89,941美元
258,70,1,90,946美元
259,70,1,91,barrel的取值不在有效范围1~90内
260,70,2,0,502美元
261,70,2,1,507美元
262,70,2,2,512美元
263,70,2,45,727美元
264,70,2,89,947美元
265,70,2,90,952美元
266,70,2,91,barrel的取值不在有效范围1~90内
267,70,40,0,730美元
268,70,40,1,735美元
269,70,40,2,740美元
270,70,40,45,955美元
271,70,40,89,1175美元
272,70,40,90,1180美元
273,70,40,91,barrel的取值不在有效范围1~90内
274,70,79,0,964美元
275,70,79,1,969美元
276,70,79,2,974美元
277,70,79,45,1189美元
278,70,79,89,1409美元
279,70,79,90,1414美元
280,70,79,91,barrel的取值不在有效范围1~90内
281,70,80,0,970美元
282,70,80,1,975美元
283,70,80,2,980美元
284,70,80,45,1195美元
285,70,80,89,1415美元
286,70,80,90,1420美元
287,70,80,91,barrel的取值不在有效范围1~90内
288,70,81,0,stock的取值不在有效范围1~80内
289,70,81,1,stock的取值不在有效范围1~80内
290,70,81,2,stock的取值不在有效范围1~80内
291,70,81,45,stock的取值不在有效范围1~80内
292,70,81,89,stock的取值不在有效范围1~80内
293,70,81,90,stock的取值不在有效范围1~80内
294,70,81,91,stock的取值不在有效范围1~80内
295,71,0,0,lock的取值不在有效范围1~70内
296,71,0,1,lock的取值不在有效范围1~70内
297,71,0,2,lock的取值不在有效范围1~70内
298,71,0,45,lock的取值不在有效范围1~70内
299,71,0,89,lock的取值不在有效范围1~70内
300,71,0,90,lock的取值不在有效范围1~70内
301,71,0,91,lock的取值不在有效范围1~70内
302,71,1,0,lock的取值不在有效范围1~70内
303,71,1,1,lock的取值不在有效范围1~70内
304,71,1,2,lock的取值不在有效范围1~70内
305,71,1,45,lock的取值不在有效范围1~70内
306,71,1,89,lock的取值不在有效范围1~70内
307,71,1,90,lock的取值不在有效范围1~70内
308,71,1,91,lock的取值不在有效范围1~70内
309,71,2,0,lock的取值不在有效范围1~70内
310,71,2,1,lock的取值不在有效范围1~70内
311,71,2,2,lock的取值不在有效范围1~70内
312,71,2,45,lock的取值不在有效范围1~70内
313,71,2,89,lock的取值不在有效范围1~70内
314,71,2,90,lock的取值不在有效范围1~70内
315,71,2,91,lock的取值不在有效范围1~70内
316,71,40,0,lock的取值不在有效范围1~70内
317,71,40,1,lock的取值不在有效范围1~70内
318,71,40,2,lock的取值不在有效范围1~70内
319,71,40,45,lock的取值不在有效范围1~70内
320,71,40,89,lock的取值不在有效范围1~70内
321,71,40,90,lock的取值不在有效范围1~70内
322,71,40,91,lock的取值不在有效范围1~70内
323,71,79,0,lock的取值不在有效范围1~70内
324,71,79,1,lock的取值不在有效范围1~70内
325,71,79,2,lock的取值不在有效范围1~70内
326,71,79,45,lock的取值不在有效范围1~70内
327,71,79,89,lock的取值不在有效范围1~70内
328,71,79,90,lock的取值不在有效范围1~70内
329,71,79,91,lock的取值不在有效范围1~70内
330,71,80,0,lock的取值不在有效范围1~70内
331,71,80,1,lock的取值不在有效范围1~70内
332,71,80,2,lock的取值不在有效范围1~70内
333,71,80,45,lock的取值不在有效范围1~70内
334,71,80,89,lock的取值不在有效范围1~70内
335,71,80,90,lock的取值不在有效范围1~70内
336,71,80,91,lock的取值不在有效范围1~70内
337,71,81,0,lock的取值不在有效范围1~70内
338,71,81,1,lock的取值不在有效范围1~70内
339,71,81,2,lock的取值不在有效范围1~70内
340,71,81,45,lock的取值不在有效范围1~70内
341,71,81,89,lock的取值不在有效范围1~70内
342,71,81,90,lock的取值不在有效范围1~70内
343,71,81,91,lock的取值不在有效范围1~70内
